"duration_in_seconds","response_id","intn","intn_nb","meat_belief","pol","gender","age","norm","framing"
1671,"R_tGy5MKWFR2MbwEF",1,7,30,2,"female",19,"dyn","neg"
129,"R_2VEnIlCBL0YoKOU",3,14,30,4,"female",20,"stat","pos"
154,"R_3g0LQa2gJyIAZKF",2,3,15,2,"female",20,"stat","pos"
367,"R_1N2NhznhxGtTZhd",1,18,40,5,"female",21,"stat","neg"
152,"R_2rSjQN4fMEjorNP",4,16,30,2,"non_binary",33,"dyn","pos"
336,"R_rfHQw3zdEjlqTFn",6,14,40,2,"female",21,"stat","neg"
73,"R_2Ea9q8Exh59CXs7",2,4,10,2,"female",20,"dyn","pos"
195,"R_XhKmBYYIY6Cca0p",1,2,30,5,"female",23,"dyn","neg"
598,"R_3oLwETx1kmx9s3m",4,14,30,3,"female",49,"dyn","pos"
182,"R_2EEKotLmQBy4HOs",3,14,30,4,"male",20,"stat","pos"
283,"R_2uq5V4U9fJhfM2y",4,7,20,4,"male",21,"dyn","neg"
254,"R_6WiApEjiXb8wolH",7,15,60,2,"female",20,"dyn","neg"
58,"R_3MnRFo0PcOLx06A",3,15,70,4,"female",23,"dyn","pos"
276,"R_3lJHoiBmbBzJXOP",4,8,40,3,"male",19,"stat","pos"
561,"R_31XE31ejO4o3odE",1,8,30,4,"female",24,"stat","neg"
161,"R_1i5awF48LZWVGfX",4,16,30,1,"female",34,"dyn","pos"
179,"R_AbYdFQvCZbgAvSN",4,9,14,2,"male",20,"stat","pos"
290,"R_6X9o8w6R9PRNEMp",1,7,40,4,"female",19,"dyn","neg"
303,"R_1IxQ5f82lhynY6K",2,10,38,4,"female",20,"stat","neg"
313,"R_ZI5zVhhXd3SKGmR",4,7,25,3,"female",19,"dyn","neg"
1110,"R_1LBvQut70BPQfSo",2,7,NA,1,"male",20,"stat","pos"
1584,"R_2zTvbBrEeuf8unA",4,5,30,3,"female",19,"dyn","pos"
211,"R_31AzZ0tQDlReEbr",3,4,7,NA,"female",20,"dyn","pos"
642,"R_28AqI55TDdAM1Na",6,15,25,4,"female",45,"stat","neg"
218,"R_2b1y636E8KqsLFK",6,14,40,2,"female",19,"dyn","neg"
435,"R_2WOwXp7jLCltJLZ",4,3,30,3,"female",30,"stat","pos"
135,"R_2AEiUrnlYTqeU1s",3,15,40,3,"female",19,"dyn","pos"
